ctuid,refYear,dwellingtype,bedroomtype, RentalUnitAmount , PopulationAmount , AverageRent , ConstructedBefore1960 , Constructed1960to1979 , Constructed1980to1999 , ConstructedAfter2000 
0122.03,2018,4,3, 20 , 51 ," 1,475 ", -   , 7 , 7 , 7 
0123.01,2018,1,0, 15 , 20 , 837 , -   , 9 , 6 , -   
0123.01,2018,1,1, 365 , 552 ," 1,007 ", 20 , 195 , 150 , -   
0123.01,2018,1,2, 382 , 896 ," 1,380 ", 30 , 137 , 208 , 10 
0123.01,2018,1,3, 10 , 10 ," 1,537 ", -   , 10 , -   , -   
0123.01,2018,2,2, 15 , 51 ," 1,628 ", -   , 9 , 6 , -   
0123.01,2018,2,3, 395 ," 1,641 "," 1,449 ", 35 , 190 , 135 , 35 
0123.01,2018,3,3, 20 , 76 ," 1,410 ", -   , 20 , -   , -   
0123.01,2018,4,2, 20 , 30 ," 1,308 ", 10 , 10 , -   , -   
0123.01,2018,4,3, 30 , 86 ," 1,639 ", 15 , -   , 15 , -   
0123.02,2018,1,1, 25 , 30 , 829 , 12 , -   , -   , 12 
0123.02,2018,1,2, 50 , 111 ," 1,186 ", -   , 20 , 20 , 10 
0123.02,2018,2,2, 50 , 101 ," 1,067 ", -   , -   , 50 , -   
0123.02,2018,2,3, 290 , 983 ," 1,546 ", 10 , 155 , 87 , 39 
0123.02,2018,3,3, 55 , 182 ," 1,611 ", -   , -   , 39 , 16 
0123.02,2018,4,1, 10 , 15 ," 1,041 ", 4 , 3 , 2 , 1 
0123.02,2018,4,2, 15 , 61 ," 1,425 ", -   , 7 , -   , 8 
0123.02,2018,4,3, 114 , 370 ," 1,821 ", 16 , 38 , 49 , 11 
0124.01,2018,1,1, 45 , 46 ," 1,069 ", -   , 11 , 34 , -   
0124.01,2018,1,2, 115 , 159 ," 1,393 ", 26 , 21 , 26 , 42 
0124.01,2018,1,3, 35 , 82 ," 1,516 ", 12 , 12 , 12 , -   
0124.01,2018,2,2, 10 , 10 ," 1,164 ", 1 , 3 , 4 , 2 
0124.01,2018,2,3, 100 , 318 ," 1,322 ", -   , 48 , 43 , 9 
0124.01,2018,4,2, 10 , 20 ," 1,318 ", -   , 10 , -   , -   
0124.01,2018,4,3, 10 , 41 ," 1,498 ", 10 , -   , -   , -   
0124.02,2018,1,1, 54 , 77 ," 1,031 ", -   , 15 , 40 , -   
0124.02,2018,1,2, 130 , 200 ," 1,412 ", 10 , 19 , 72 , 29 
0124.02,2018,1,3, 10 , 20 ," 1,226 ", 3 , 4 , 2 , 1 
0124.02,2018,2,2, 10 , 36 ," 1,137 ", 1 , 3 , 4 , 2 
0124.02,2018,2,3, 55 , 205 ," 1,518 ", -   , 20 , 35 , -   
0124.02,2018,3,3, 25 , 41 ," 1,416 ", -   , 12 , 12 , -   
0124.03,2018,1,1, 120 , 128 ," 2,010 ", -   , -   , -   , 120 
0124.03,2018,1,2, 85 , 154 ," 1,645 ", 9 , 9 , 24 , 42 
0124.03,2018,1,3, 10 , 26 ," 1,090 ", -   , -   , -   , 10 
0124.03,2018,4,3, 25 , 87 ," 1,490 ", -   , 8 , 17 , -   
0124.04,2018,2,2, 15 , 36 , 882 , -   , 6 , 9 , -   
0124.04,2018,2,3, 110 , 277 ," 1,470 ", -   , 45 , 55 , 10 
0124.04,2018,3,2, 10 , 10 ," 1,064 ", 4 , 3 , 1 , 2 
0124.04,2018,4,1, 10 , 10 , 894 , 4 , 3 , 2 , 1 
0124.04,2018,4,3, 15 , 61 ," 1,562 ", -   , 8 , 8 , -   
0125.01,2018,1,1, 35 , 35 ," 1,036 ", -   , 23 , 12 , -   
0125.01,2018,1,2, 205 , 415 ," 1,150 ", 25 , 140 , 40 , -   
0125.01,2018,1,3, 40 , 127 ," 1,336 ", -   , 31 , 9 , -   
0125.01,2018,2,3, 65 , 238 ," 1,449 ", 19 , 46 , -   , -   
0125.01,2018,3,3, 10 , 10 , 959 , 4 , 4 , 2 , 1 
0125.01,2018,4,3, 30 , 76 ," 1,490 ", -   , 21 , 9 , -   
0125.02,2018,1,1, 7 , 15 ," 1,152 ", -   , -   , 10 , -   
0125.02,2018,1,2, 55 , 127 ," 1,270 ", -   , 24 , -   , 31 
0125.02,2018,1,3, 9 , 35 ," 1,676 ", 3 , 4 , 2 , 1 
0125.02,2018,2,1, 20 , 41 , 948 , 7 , 7 , 7 , -   
0125.02,2018,2,2, 65 , 147 , 989 , 10 , 25 , 20 , 10 
0125.02,2018,2,3, 224 , 760 ," 1,355 ", 10 , 125 , 90 , -   
0125.02,2018,3,3, 10 , 10 ," 1,342 ", 10 , -   , -   , -   
0125.02,2018,4,3, 10 , 46 ," 1,223 ", 5 , 5 , -   , -   
0125.03,2018,2,3, 10 , 10 ," 1,449 ", 1 , 4 , 3 , 2 
0125.03,2018,3,2, 10 , 10 ," 1,137 ", 10 , -   , -   , -   
0125.03,2018,4,2, 10 , 15 ," 1,162 ", 10 , -   , -   , -   
0125.03,2018,4,3, 30 , 76 ," 1,472 ", 22 , -   , 8 , -   
0125.04,2018,4,1, 10 , 15 ," 1,714 ", 4 , 3 , 2 , 1 
0125.04,2018,4,2, 10 , 26 ," 1,441 ", -   , -   , -   , 10 
0125.04,2018,4,3, 35 , 138 ," 1,600 ", -   , 10 , 25 , -   
0125.05,2018,1,1, 29 , 31 , 914 , -   , 18 , 12 , -   
0125.05,2018,1,2, 15 , 46 ," 1,530 ", -   , 15 , -   , -   
0125.05,2018,2,2, 10 , 10 , 917 , -   , -   , 10 , -   
0125.05,2018,2,3, 30 , 56 ," 1,302 ", -   , 8 , 15 , 8 
0125.05,2018,3,2, 10 , 10 ," 1,114 ", 4 , 3 , 1 , 2 
0125.05,2018,3,3, 20 , 46 , 880 , -   , -   , 13 , 7 
0125.05,2018,4,1, 15 , 20 ," 2,282 ", -   , -   , 8 , 8 
0125.05,2018,4,2, 10 , 10 ," 1,363 ", -   , -   , -   , 10 
0125.05,2018,4,3, 20 , 77 ," 1,606 ", -   , 10 , 10 , -   
0125.06,2018,1,1, 15 , 26 , 767 , -   , 8 , 8 , -   
0125.06,2018,1,2, 96 , 123 ," 1,379 ", -   , 16 , -   , 80 
0125.06,2018,1,3, 30 , 97 ," 1,602 ", 8 , 8 , 15 , -   
0125.06,2018,2,2, 52 , 92 ," 1,517 ", -   , -   , 10 , 42 
0125.06,2018,2,3, 95 , 297 ," 1,866 ", -   , -   , 11 , 84 
0125.06,2018,3,3, 10 , 46 ," 1,338 ", -   , -   , 10 , -   
0125.06,2018,4,2, 20 , 61 ," 1,421 ", -   , -   , 10 , 10 
0125.06,2018,4,3, 25 , 102 ," 2,051 ", -   , 7 , 11 , 7 
0125.07,2018,1,1, 30 , 72 , 766 , -   , 30 , -   , -   
0125.07,2018,1,2, 120 , 282 ," 1,263 ", 9 , 23 , 46 , 42 
0125.07,2018,1,3, 70 , 215 , 970 , 10 , 15 , 45 , -   
0125.07,2018,2,3, 190 , 579 ," 1,717 ", -   , -   , 35 , 155 
0125.07,2018,3,3, 20 , 36 ," 1,669 ", 7 , 7 , 3 , 2 
0125.07,2018,4,3, 10 , 15 ," 1,505 ", -   , -   , 10 , -   
0125.08,2018,1,2, 15 , 26 ," 1,115 ", 3 , 6 , 3 , 2 
0125.08,2018,1,3, 20 , 61 , 682 , -   , 20 , -   , -   
0125.08,2018,2,2, 25 , 41 , 783 , -   , 10 , 15 , -   
0125.08,2018,2,3, 95 , 323 ," 1,372 ", -   , 25 , 70 , -   
0125.08,2018,3,2, 10 , 10 ," 1,091 ", 4 , 3 , 1 , 2 
0125.08,2018,4,2, 10 , 10 ," 1,444 ", 10 , -   , -   , -   
0125.08,2018,4,3, 35 , 138 ," 1,495 ", -   , 14 , 21 , -   
0125.09,2018,1,1, 9 , 10 ," 1,174 ", 2 , 5 , 2 , 1 
0125.09,2018,1,2, 25 , 36 ," 1,413 ", -   , -   , 25 , -   
0125.09,2018,1,3, 10 , 20 ," 1,708 ", 3 , 4 , 2 , 1 
0125.09,2018,2,2, 20 , 61 ," 1,562 ", -   , -   , 20 , -   
0125.09,2018,2,3, 250 , 825 ," 1,485 ", -   , 39 , 172 , 39 
0125.09,2018,4,2, 10 , 15 ," 1,582 ", -   , 5 , 5 , -   
0125.09,2018,4,3, 10 , 10 ," 1,793 ", 3 , 3 , 2 , 1 
0126.03,2018,1,1, 10 , 11 ," 1,274 ", -   , -   , -   , 10 
0126.03,2018,1,2, 55 , 123 ," 1,523 ", -   , -   , -   , 55 
0126.03,2018,2,3, 60 , 219 ," 1,893 ", -   , 10 , -   , 50 
0126.03,2018,3,3, 40 , 107 ," 2,033 ", -   , -   , -   , 40 
0126.03,2018,4,2, 10 , 27 ," 1,645 ", 5 , -   , -   , 5 
0126.03,2018,4,3, 65 , 219 ," 2,362 ", -   , -   , -   , 65 
0126.04,2018,1,2, 9 , 10 ," 2,513 ", 9 , -   , -   , -   
0126.04,2018,1,3, 10 , 10 ," 2,914 ", 3 , 4 , 2 , 1 
0126.04,2018,2,3, 35 , 77 ," 1,827 ", -   , -   , -   , 35 
0126.04,2018,3,1, 10 , 10 , 897 , 10 , -   , -   , -   
0126.04,2018,3,3, 10 , 10 ," 1,351 ", 4 , 4 , 2 , 1 
0126.04,2018,4,0, 10 , 3 ," 1,319 ", -   , 10 , -   , -   
0126.04,2018,4,1, 10 , 15 ," 1,065 ", -   , 5 , 5 , -   
0126.04,2018,4,2, 39 , 87 ," 1,266 ", 22 , 9 , 9 , -   
0126.04,2018,4,3, 103 , 343 ," 1,913 ", 57 , 19 , 19 , 10 
0126.04,2018,5,1, 10 , 10 , 530 , -   , 10 , -   , -   
0126.04,2018,5,2, 35 , 61 , 592 , -   , 15 , 20 , -   
0126.04,2018,5,3, 15 , 36 , 755 , 8 , -   , 8 , -   
0126.05,2018,1,2, 10 , 37 ," 1,496 ", -   , -   , -   , 10 
0126.05,2018,2,2, 10 , 11 ," 1,416 ", -   , -   , 10 , -   
0126.05,2018,2,3, 45 , 154 ," 1,642 ", -   , -   , 20 , 25 
0126.05,2018,3,2, 10 , 11 ," 1,829 ", -   , -   , -   , 10 
0126.05,2018,3,3, 15 , 37 ," 1,509 ", -   , -   , -   , 15 
0126.05,2018,4,2, 10 , 20 ," 1,611 ", 10 , -   , -   , -   
0126.05,2018,4,3, 25 , 69 ," 2,252 ", 8 , -   , 8 , 8 
0126.06,2018,1,2, 14 , 27 ," 1,413 ", -   , -   , -   , 15 
0126.06,2018,2,2, 10 , 27 ," 1,476 ", 1 , 3 , 4 , 2 
0126.06,2018,2,3, 104 , 378 ," 1,839 ", -   , -   , 10 , 95 
0126.06,2018,3,2, 10 , 11 , 995 , -   , -   , -   , 10 
0126.06,2018,4,2, 10 , 32 ," 1,709 ", -   , -   , -   , 10 
0126.06,2018,4,3, 10 , 37 ," 2,295 ", -   , -   , -   , 10 
0127.00,2018,1,1, 50 , 71 , 843 , 19 , 31 , -   , -   
0127.00,2018,1,2, 115 , 279 , 978 , 20 , 50 , 45 , -   
0127.00,2018,2,2, 10 , 22 ," 1,240 ", 1 , 3 , 4 , 2 
0127.00,2018,2,3, 370 , 856 ," 1,290 ", 91 , 223 , 41 , 15 
0127.00,2018,3,2, 10 , 20 ," 1,546 ", 10 , -   , -   , -   
0127.00,2018,3,3, 55 , 203 ," 1,549 ", 28 , 28 , -   , -   
0127.00,2018,4,2, 55 , 96 ," 1,461 ", 44 , 11 , -   , -   
0127.00,2018,4,3, 25 , 91 ," 1,994 ", 12 , 12 , -   , -   
0130.01,2018,1,1, 44 , 56 ," 3,580 ", -   , -   , -   , 45 
0130.01,2018,1,2, 45 , 76 ," 1,597 ", -   , -   , -   , 45 
0130.01,2018,2,2, 19 , 41 ," 1,645 ", -   , -   , -   , 19 
0130.01,2018,2,3, 10 , 20 ," 1,535 ", -   , -   , -   , 10 
0130.01,2018,3,1, 10 , 10 ," 1,169 ", -   , -   , 10 , -   
0130.01,2018,4,2, 10 , 10 ," 1,699 ", 4 , 3 , 1 , 1 
0130.01,2018,4,3, 70 , 197 ," 1,703 ", 19 , 38 , 13 , -   
0130.02,2018,1,1, 35 , 46 ," 1,160 ", -   , 9 , 26 , -   
0130.02,2018,1,2, 115 , 192 ," 1,335 ", -   , 20 , 95 , -   
0130.02,2018,1,3, 10 , 41 ," 1,032 ", 3 , 4 , 2 , 1 
0130.02,2018,2,2, 10 , 35 ," 1,609 ", -   , -   , 10 , -   
0130.02,2018,2,3, 375 ," 1,215 "," 1,453 ", 20 , 200 , 135 , 20 
0130.02,2018,3,2, 10 , 15 ," 1,265 ", -   , 5 , 5 , -   
0130.02,2018,3,3, 25 , 86 ," 1,241 ", -   , 12 , -   , 12 
0131.01,2018,1,0, 10 , 15 , 751 , -   , -   , 10 , -   
0131.01,2018,1,1, 355 , 410 , 865 , 25 , 125 , 125 , 80 
0131.01,2018,1,2, 245 , 446 ," 1,143 ", -   , 78 , 137 , 29 
0131.01,2018,1,3, 29 , 86 , 977 , -   , -   , 30 , -   
0131.01,2018,2,2, 20 , 20 , 905 , -   , 12 , 8 , -   
0131.01,2018,2,3, 265 , 982 ," 1,497 ", 20 , 130 , 95 , 20 
0131.01,2018,3,3, 40 , 182 ," 1,394 ", -   , 31 , 9 , -   
0131.01,2018,4,3, 49 , 177 ," 1,452 ", -   , 39 , 11 , -   
0131.02,2018,1,0, 10 , 10 , 787 , 3 , 5 , 2 , 1 
0131.02,2018,1,1, 249 , 339 , 969 , 40 , 145 , 55 , 10 
0131.02,2018,1,2, 255 , 628 ," 1,158 ", 55 , 145 , 45 , 10 
0131.02,2018,1,3, 25 , 106 , 917 , -   , 25 , -   , -   
0131.02,2018,2,2, 140 , 329 ," 1,356 ", 10 , 100 , 20 , 10 
0131.02,2018,2,3, 90 , 273 ," 1,493 ", 19 , 52 , 19 , -   
0131.02,2018,3,2, 10 , 17 ," 1,243 ", 4 , 3 , 1 , 2 
0131.02,2018,3,3, 40 , 147 ," 1,509 ", -   , 29 , 11 , -   
0131.02,2018,4,2, 15 , 35 ," 1,577 ", 15 , -   , -   , -   
0131.02,2018,4,3, 60 , 157 ," 1,477 ", 20 , 16 , 16 , 8 
0132.00,2018,1,0, 15 , 20 , 881 , -   , 15 , -   , -   
0132.00,2018,1,1, 235 , 359 ," 1,091 ", 25 , 130 , 40 , 40 
0132.00,2018,1,2, 710 ," 1,620 "," 1,213 ", 45 , 475 , 155 , 35 
0132.00,2018,1,3, 125 , 440 ," 1,402 ", 26 , 47 , 52 , -   
0132.00,2018,2,2, 40 , 116 ," 1,304 ", 8 , 24 , 8 , -   
0132.00,2018,2,3, 95 , 410 ," 1,577 ", 21 , 42 , 21 , 11 
0132.00,2018,3,3, 10 , 51 ," 1,158 ", -   , 5 , -   , 5 
0132.00,2018,4,3, 57 , 192 ," 1,496 ", 18 , 26 , 7 , 7 
0133.00,2018,1,0, 10 , 10 , 945 , -   , -   , 10 , -   
0133.00,2018,1,1, 145 , 213 ," 1,127 ", -   , 53 , 82 , 10 
0133.00,2018,1,2, 170 , 385 ," 1,348 ", -   , 41 , 82 , 46 
0133.00,2018,1,3, 10 , 35 ," 1,525 ", 10 , -   , -   , -   
0133.00,2018,2,1, 10 , 15 ," 1,157 ", 3 , 3 , 3 , 1 
0133.00,2018,2,2, 20 , 66 ," 1,660 ", -   , 6 , 9 , 6 
0133.00,2018,2,3, 145 , 461 ," 1,683 ", 10 , 50 , 40 , 45 
0133.00,2018,3,3, 10 , 25 ," 1,509 ", -   , -   , 10 , -   
0133.00,2018,4,2, 15 , 25 ," 1,110 ", 15 , -   , -   , -   
0133.00,2018,4,3, 147 , 461 ," 1,591 ", 35 , 94 , 10 , 10 
0134.00,2018,1,2, 9 , 10 ," 1,136 ", 2 , 4 , 2 , 1 
0134.00,2018,1,3, 10 , 20 ," 1,633 ", -   , 10 , -   , -   
0134.00,2018,2,2, 10 , 41 ," 1,673 ", -   , -   , 5 , 5 
0134.00,2018,2,3, 125 , 344 ," 1,557 ", 9 , 80 , 27 , 9 
0134.00,2018,3,3, 25 , 71 ," 1,213 ", 10 , 15 , -   , -   
0134.00,2018,4,2, 20 , 30 ," 1,104 ", 8 , 12 , -   , -   
0134.00,2018,4,3, 100 , 309 ," 1,456 ", 53 , 47 , -   , -   
0135.01,2018,1,0, 10 , 11 , 827 , 3 , 5 , 2 , 1 
0135.01,2018,1,1, 70 , 65 , 899 , 11 , 22 , 32 , 5 
0135.01,2018,1,2, 190 , 226 ," 1,259 ", -   , 52 , 73 , 65 
0135.01,2018,2,2, 30 , 65 ," 1,260 ", -   , -   , 30 , -   
0135.01,2018,2,3, 635 ," 2,012 "," 1,486 ", 45 , 327 , 253 , 10 
0135.01,2018,3,2, 15 , 20 ," 1,008 ", -   , 15 , -   , -   
0135.01,2018,3,3, 30 , 90 ," 1,169 ", -   , 18 , 12 , -   
0135.01,2018,4,2, 10 , 10 ," 1,410 ", -   , -   , 10 , -   
0135.01,2018,4,3, 35 , 156 ," 1,409 ", -   , 20 , 15 , -   
0135.02,2018,1,1, 80 , 100 ," 1,075 ", 11 , 53 , 16 , -   
0135.02,2018,1,2, 105 , 216 ," 1,228 ", -   , 79 , 26 , -   
0135.02,2018,1,3, 35 , 85 ," 1,136 ", -   , 26 , 9 , -   
0135.02,2018,2,2, 15 , 40 ," 1,633 ", -   , 15 , -   , -   
0135.02,2018,2,3, 90 , 211 ," 1,353 ", 18 , 50 , 22 , -   
0135.02,2018,4,3, 30 , 70 ," 1,554 ", -   , 15 , 8 , 8 
0135.03,2018,2,1, 10 , 10 , 862 , -   , -   , 10 , -   
0135.03,2018,2,2, 55 , 110 ," 1,169 ", 11 , 44 , -   , -   
0135.03,2018,2,3, 70 , 231 ," 1,201 ", 18 , 41 , 12 , -   
0135.03,2018,3,2, 10 , 17 ," 1,094 ", 10 , -   , -   , -   
0135.03,2018,4,3, 50 , 191 ," 1,347 ", 11 , 39 , -   , -   
0136.01,2018,1,1, 20 , 30 , 877 , 7 , 13 , -   , -   
0136.01,2018,1,2, 29 , 40 , 906 , 12 , 17 , -   , -   
0136.01,2018,2,3, 120 , 351 ," 1,396 ", -   , 86 , 34 , -   
0136.01,2018,3,3, 10 , 10 ," 1,314 ", 4 , 4 , 2 , 1 
0136.01,2018,4,1, 10 , 15 , 765 , -   , 10 , -   , -   
0136.01,2018,4,3, 60 , 166 ," 1,314 ", 22 , 38 , -   , -   
0136.02,2018,1,1, 45 , 50 ," 1,194 ", 8 , -   , 37 , -   
0136.02,2018,1,2, 60 , 95 , 877 , -   , 22 , 38 , -   
0136.02,2018,1,3, 15 , 65 ," 1,026 ", -   , 15 , -   , -   
0136.02,2018,2,1, 15 , 15 ," 1,061 ", -   , -   , 15 , -   
0136.02,2018,2,2, 95 , 196 ," 1,399 ", 10 , 15 , 35 , 35 
0136.02,2018,2,3, 190 , 557 ," 1,364 ", -   , 105 , 70 , 15 
0136.02,2018,3,2, 10 , 20 ," 1,434 ", 4 , 3 , 1 , 2 
0136.02,2018,3,3, 25 , 70 ," 1,383 ", -   , 25 , -   , -   
0136.02,2018,5,3, 10 , 15 , 811 , 3 , 3 , 3 , -   
0137.02,2018,1,1, 55 , 85 ," 1,146 ", -   , 22 , 33 , -   
0137.02,2018,1,2, 145 , 256 ," 1,394 ", -   , 40 , 95 , 10 
0137.02,2018,2,2, 24 , 45 ," 1,184 ", -   , -   , 25 , -   
0137.02,2018,2,3, 60 , 171 ," 1,431 ", -   , 38 , 22 , -   
0137.02,2018,4,3, 25 , 55 ," 1,347 ", -   , 25 , -   , -   
0137.03,2018,4,3, 9 , 15 ," 1,736 ", -   , -   , -   , 9 
0137.04,2018,1,1, 50 , 55 ," 1,100 ", 8 , 33 , 8 , -   
0137.04,2018,1,2, 25 , 45 ," 1,174 ", 7 , 11 , 7 , -   
0137.04,2018,2,2, 45 , 105 ," 1,472 ", -   , 28 , 17 , -   
0137.04,2018,2,3, 85 , 226 ," 1,407 ", 11 , 64 , 11 , -   
0137.04,2018,3,3, 10 , 15 ," 1,058 ", 4 , 4 , 2 , 1 
0137.05,2018,1,1, 30 , 25 , 958 , 10 , -   , 20 , -   
0137.05,2018,1,2, 153 , 306 ," 1,420 ", -   , -   , 20 , 133 
0137.05,2018,2,1, 20 , 25 , 841 , -   , -   , 12 , 8 
0137.05,2018,2,2, 105 , 241 ," 1,169 ", -   , 20 , 75 , 10 
0137.05,2018,2,3, 259 , 798 ," 1,377 ", -   , 25 , 179 , 55 
0138.00,2018,1,0, 20 , 25 , 854 , -   , 20 , -   , -   
0138.00,2018,1,1, 630 ," 1,118 "," 1,113 ", 60 , 392 , 144 , 35 
0138.00,2018,1,2, 730 ," 1,826 "," 1,201 ", 85 , 455 , 165 , 25 
0138.00,2018,1,3, 15 , 46 ," 1,356 ", 6 , -   , 9 , -   
0138.00,2018,2,1, 10 , 15 ," 1,035 ", 10 , -   , -   , -   
0138.00,2018,2,2, 295 , 900 ," 1,411 ", 35 , 195 , 65 , -   
0138.00,2018,2,3, 650 ," 2,670 "," 1,542 ", 113 , 428 , 88 , 21 
0138.00,2018,4,3, 10 , 20 ," 1,584 ", -   , -   , 10 , -   
0138.00,2018,5,1, 10 , 7 , 612 , -   , 10 , -   , -   
0139.00,2018,1,1, 10 , 10 ," 1,284 ", 2 , 5 , 2 , 1 
0139.00,2018,1,2, 95 , 152 ," 1,492 ", 10 , 65 , 20 , -   
0139.00,2018,2,3, 45 , 147 ," 1,425 ", -   , 30 , 15 , -   
0139.00,2018,3,3, 10 , 10 ," 2,050 ", 4 , 4 , 2 , 1 
0139.00,2018,4,2, 9 , 30 ," 1,282 ", 5 , -   , 5 , -   
0139.00,2018,4,3, 69 , 248 ," 1,580 ", 12 , 46 , 12 , -   
0140.03,2018,1,1, 10 , 10 ," 1,108 ", 2 , 5 , 2 , 1 
0140.03,2018,1,2, 15 , 26 ," 1,378 ", -   , -   , -   , 15 
0140.03,2018,2,3, 55 , 202 ," 1,012 ", -   , 25 , 21 , 8 
0140.03,2018,4,3, 10 , 57 ," 1,517 ", -   , -   , 10 , -   
0140.04,2018,2,3, 30 , 73 ," 1,396 ", -   , 15 , 15 , -   
0140.04,2018,4,3, 29 , 83 ," 1,530 ", -   , -   , 30 , -   
0140.05,2018,2,3, 70 , 202 ," 1,399 ", -   , 15 , 55 , -   
0140.05,2018,3,3, 20 , 47 ," 1,289 ", -   , 10 , 10 , -   
0140.05,2018,4,3, 19 , 57 ," 1,589 ", -   , -   , 20 , -   
0140.06,2018,4,3, 28 , 62 ," 1,429 ", -   , 15 , 15 , -   
0140.07,2018,1,2, 30 , 36 ," 1,150 ", -   , -   , 20 , 10 
0140.07,2018,2,2, 20 , 52 ," 1,286 ", -   , 10 , 10 , -   
0140.07,2018,2,3, 100 , 301 ," 1,368 ", 9 , 57 , 35 , -   
0140.07,2018,3,3, 10 , 73 ," 1,303 ", -   , 10 , -   , -   
0141.04,2018,2,3, 45 , 109 ," 1,355 ", -   , -   , 8 , 37 
0141.05,2018,1,1, 8 , 10 ," 1,371 ", null , null , null , -   
0141.05,2018,1,2, 34 , 26 ," 1,597 ", 3 , 6 , 3 , 21 
0141.05,2018,1,3, 23 , 16 ," 1,880 ", null , null , null , -   
0141.05,2018,2,1, 25 , 41 ," 1,005 ", -   , -   , 10 , 15 
0141.05,2018,2,2, 75 , 150 ," 1,340 ", -   , -   , 40 , 35 
0141.05,2018,2,3, 290 , 996 ," 1,509 ", -   , 16 , 169 , 105 
0141.05,2018,3,3, 55 , 197 ," 1,662 ", -   , -   , 31 , 24 
0141.05,2018,4,3, 34 , 135 ," 1,934 ", -   , 9 , 26 , -   
0141.08,2018,2,3, 65 , 258 ," 1,545 ", -   , 10 , 25 , 30 
0141.08,2018,3,1, 10 , 10 ," 1,122 ", 4 , 3 , 2 , 1 
0141.08,2018,4,2, 10 , 25 , 986 , -   , -   , 10 , -   
0141.08,2018,4,3, 40 , 127 ," 1,790 ", -   , -   , 40 , -   
0141.09,2018,1,1, 10 , 16 ," 1,315 ", -   , -   , -   , 10 
0141.09,2018,1,2, 160 , 311 ," 1,386 ", -   , -   , -   , 160 
0141.09,2018,1,3, 20 , 36 ," 1,353 ", -   , 8 , -   , 12 
0141.09,2018,2,2, 125 , 249 ," 1,580 ", -   , -   , 40 , 85 
0141.09,2018,2,3, 215 , 695 ," 1,718 ", -   , 10 , 67 , 139 
0141.09,2018,3,3, 10 , 26 ," 2,059 ", -   , -   , -   , 10 
0141.09,2018,4,3, 35 , 140 ," 1,995 ", -   , -   , 9 , 26 
0141.10,2018,2,3, 80 , 296 ," 1,615 ", -   , -   , 48 , 32 
0141.10,2018,3,3, 10 , 52 ," 1,776 ", -   , -   , -   , 10 
0141.10,2018,4,1, 10 , 10 ," 1,053 ", 4 , 3 , 2 , 1 
0141.10,2018,4,3, 20 , 119 ," 1,851 ", -   , 7 , -   , 13 
0141.11,2018,1,1, 1 , 10 ," 1,318 ", null , null , null , -   
0141.11,2018,1,2, 157 , 311 ," 1,525 ", -   , -   , 10 , 147 
0141.11,2018,2,2, 15 , 36 ," 1,496 ", -   , -   , -   , 15 
0141.11,2018,2,3, 185 , 695 ," 1,636 ", -   , -   , 60 , 125 
0141.11,2018,3,2, 10 , 17 ," 1,508 ", 4 , 3 , 1 , 2 
0141.11,2018,3,3, 20 , 88 ," 1,739 ", -   , -   , -   , 20 
0141.11,2018,4,3, 9 , 52 ," 1,982 ", -   , -   , -   , 10 
0141.12,2018,1,1, 15 , 16 ," 1,227 ", -   , -   , -   , 15 
0141.12,2018,1,2, 181 , 405 ," 1,438 ", -   , -   , -   , 181 
0141.12,2018,2,1, 10 , 16 ," 1,151 ", 3 , 3 , 3 , 1 
0141.12,2018,2,2, 145 , 316 ," 1,486 ", -   , -   , 10 , 135 
0141.12,2018,2,3, 275 , 949 ," 1,844 ", -   , -   , 10 , 265 
0141.12,2018,3,3, 25 , 62 ," 1,815 ", -   , -   , -   , 25 
0141.12,2018,4,3, 80 , 290 ," 2,082 ", -   , 9 , -   , 71 
0141.13,2018,2,3, 99 , 347 ," 1,711 ", -   , -   , -   , 100 
0141.13,2018,4,3, 53 , 171 ," 1,971 ", 11 , -   , -   , 44 
0141.14,2018,2,3, 10 , 20 ," 1,686 ", -   , -   , -   , 10 
0141.14,2018,4,2, 30 , 61 ," 1,402 ", 13 , 9 , 9 , -   
0141.14,2018,4,3, 80 , 214 ," 2,154 ", 60 , 10 , -   , 10 
0141.15,2018,1,1, 20 , 10 ," 1,278 ", 2 , 5 , 2 , 11 
0141.15,2018,1,2, 81 , 161 ," 1,423 ", -   , -   , -   , 81 
0141.15,2018,1,3, 23 , 21 ," 2,140 ", -   , -   , -   , 23 
0141.15,2018,2,2, 125 , 280 ," 1,523 ", -   , -   , -   , 125 
0141.15,2018,2,3, 365 ," 1,100 "," 1,792 ", -   , -   , 10 , 355 
0141.15,2018,4,2, 9 , 16 ," 1,824 ", -   , -   , -   , 9 
0141.15,2018,4,3, 74 , 249 ," 2,360 ", -   , -   , -   , 74 
0151.03,2018,1,1, 55 , 71 , 654 , 22 , 33 , -   , -   
0151.03,2018,1,2, 50 , 71 ," 1,043 ", 10 , 10 , 30 , -   
0151.03,2018,1,3, 25 , 76 ," 1,110 ", 11 , 7 , 7 , -   
0151.03,2018,2,3, 10 , 15 , 983 , -   , 10 , -   , -   
0151.03,2018,3,1, 10 , 10 , 715 , 4 , 3 , 2 , 1 
0151.03,2018,3,3, 10 , 10 , 922 , -   , -   , 10 , -   
0151.03,2018,4,2, 15 , 20 ," 1,246 ", -   , 15 , -   , -   
0151.03,2018,4,3, 40 , 101 ," 1,782 ", 17 , 23 , -   , -   
0151.04,2018,1,1, 35 , 36 ," 1,092 ", 15 , -   , 20 , -   
