,CTUID,YEAR,DWELLING TYPE,BEDROOM TYPE,RENTAL UNIT AMOUNT,POPULATION AMOUNT,AVERAGE RENT
750,122.03,2018,1,0,3,10,794
751,122.03,2018,1,1,303,322,1084
752,122.03,2018,1,2,211,435,1189
753,122.03,2018,1,3,67,189,1594
754,122.03,2018,2,2,40,67,1534
755,122.03,2018,2,3,170,578,1308
756,122.03,2018,3,3,10,31,1263
757,122.03,2018,4,3,20,51,1475
758,123.01,2018,1,0,15,20,837
759,123.01,2018,1,1,365,552,1007
760,123.01,2018,1,2,382,896,1380
761,123.01,2018,1,3,10,10,1537
762,123.01,2018,2,2,15,51,1628
763,123.01,2018,2,3,395,1641,1449
764,123.01,2018,3,3,20,76,1410
765,123.01,2018,4,2,20,30,1308
766,123.01,2018,4,3,30,86,1639
767,123.02,2018,1,1,25,30,829
768,123.02,2018,1,2,50,111,1186
769,123.02,2018,2,2,50,101,1067
770,123.02,2018,2,3,290,983,1546
771,123.02,2018,3,3,55,182,1611
772,123.02,2018,4,1,10,15,1041
773,123.02,2018,4,2,15,61,1425
774,123.02,2018,4,3,114,370,1821
775,124.01,2018,1,1,45,46,1069
776,124.01,2018,1,2,115,159,1393
777,124.01,2018,1,3,35,82,1516
778,124.01,2018,2,2,10,10,1164
779,124.01,2018,2,3,100,318,1322
780,124.01,2018,4,2,10,20,1318
781,124.01,2018,4,3,10,41,1498
782,124.02,2018,1,1,54,77,1031
783,124.02,2018,1,2,130,200,1412
784,124.02,2018,1,3,10,20,1226
785,124.02,2018,2,2,10,36,1137
786,124.02,2018,2,3,55,205,1518
787,124.02,2018,3,3,25,41,1416
788,124.03,2018,1,1,120,128,2010
789,124.03,2018,1,2,85,154,1645
790,124.03,2018,1,3,10,26,1090
791,124.03,2018,4,3,25,87,1490
792,124.04,2018,2,2,15,36,882
793,124.04,2018,2,3,110,277,1470
794,124.04,2018,3,2,10,10,1064
795,124.04,2018,4,1,10,10,894
796,124.04,2018,4,3,15,61,1562
797,125.01,2018,1,1,35,35,1036
798,125.01,2018,1,2,205,415,1150
799,125.01,2018,1,3,40,127,1336
800,125.01,2018,2,3,65,238,1449
801,125.01,2018,3,3,10,10,959
802,125.01,2018,4,3,30,76,1490
803,125.02,2018,1,1,7,15,1152
804,125.02,2018,1,2,55,127,1270
805,125.02,2018,1,3,9,35,1676
806,125.02,2018,2,1,20,41,948
807,125.02,2018,2,2,65,147,989
808,125.02,2018,2,3,224,760,1355
809,125.02,2018,3,3,10,10,1342
810,125.02,2018,4,3,10,46,1223
811,125.03,2018,2,3,10,10,1449
812,125.03,2018,3,2,10,10,1137
813,125.03,2018,4,2,10,15,1162
814,125.03,2018,4,3,30,76,1472
815,125.04,2018,4,1,10,15,1714
816,125.04,2018,4,2,10,26,1441
817,125.04,2018,4,3,35,138,1600
818,125.05,2018,1,1,29,31,914
819,125.05,2018,1,2,15,46,1530
820,125.05,2018,2,2,10,10,917
821,125.05,2018,2,3,30,56,1302
822,125.05,2018,3,2,10,10,1114
823,125.05,2018,3,3,20,46,880
824,125.05,2018,4,1,15,20,2282
825,125.05,2018,4,2,10,10,1363
826,125.05,2018,4,3,20,77,1606
827,125.06,2018,1,1,15,26,767
828,125.06,2018,1,2,96,123,1379
829,125.06,2018,1,3,30,97,1602
830,125.06,2018,2,2,52,92,1517
831,125.06,2018,2,3,95,297,1866
832,125.06,2018,3,3,10,46,1338
833,125.06,2018,4,2,20,61,1421
834,125.06,2018,4,3,25,102,2051
835,125.07,2018,1,1,30,72,766
836,125.07,2018,1,2,120,282,1263
837,125.07,2018,1,3,70,215,970
838,125.07,2018,2,3,190,579,1717
839,125.07,2018,3,3,20,36,1669
840,125.07,2018,4,3,10,15,1505
841,125.08,2018,1,2,15,26,1115
842,125.08,2018,1,3,20,61,682
843,125.08,2018,2,2,25,41,783
844,125.08,2018,2,3,95,323,1372
845,125.08,2018,3,2,10,10,1091
846,125.08,2018,4,2,10,10,1444
847,125.08,2018,4,3,35,138,1495
848,125.09,2018,1,1,9,10,1174
849,125.09,2018,1,2,25,36,1413
850,125.09,2018,1,3,10,20,1708
851,125.09,2018,2,2,20,61,1562
852,125.09,2018,2,3,250,825,1485
853,125.09,2018,4,2,10,15,1582
854,125.09,2018,4,3,10,10,1793
855,126.03,2018,1,1,10,11,1274
856,126.03,2018,1,2,55,123,1523
857,126.03,2018,2,3,60,219,1893
858,126.03,2018,3,3,40,107,2033
859,126.03,2018,4,2,10,27,1645
860,126.03,2018,4,3,65,219,2362
861,126.04,2018,1,2,9,10,2513
862,126.04,2018,1,3,10,10,2914
863,126.04,2018,2,3,35,77,1827
864,126.04,2018,3,1,10,10,897
865,126.04,2018,3,3,10,10,1351
866,126.04,2018,4,0,10,3,1319
867,126.04,2018,4,1,10,15,1065
868,126.04,2018,4,2,39,87,1266
869,126.04,2018,4,3,103,343,1913
870,126.04,2018,5,1,10,10,530
871,126.04,2018,5,2,35,61,592
872,126.04,2018,5,3,15,36,755
873,126.05,2018,1,2,10,37,1496
874,126.05,2018,2,2,10,11,1416
875,126.05,2018,2,3,45,154,1642
876,126.05,2018,3,2,10,11,1829
877,126.05,2018,3,3,15,37,1509
878,126.05,2018,4,2,10,20,1611
879,126.05,2018,4,3,25,69,2252
880,126.06,2018,1,2,14,27,1413
881,126.06,2018,2,2,10,27,1476
882,126.06,2018,2,3,104,378,1839
883,126.06,2018,3,2,10,11,995
884,126.06,2018,4,2,10,32,1709
885,126.06,2018,4,3,10,37,2295
886,127.0,2018,1,1,50,71,843
887,127.0,2018,1,2,115,279,978
888,127.0,2018,2,2,10,22,1240
889,127.0,2018,2,3,370,856,1290
890,127.0,2018,3,2,10,20,1546
891,127.0,2018,3,3,55,203,1549
892,127.0,2018,4,2,55,96,1461
893,127.0,2018,4,3,25,91,1994
894,130.01,2018,1,1,44,56,3580
895,130.01,2018,1,2,45,76,1597
896,130.01,2018,2,2,19,41,1645
897,130.01,2018,2,3,10,20,1535
898,130.01,2018,3,1,10,10,1169
899,130.01,2018,4,2,10,10,1699
900,130.01,2018,4,3,70,197,1703
901,130.02,2018,1,1,35,46,1160
902,130.02,2018,1,2,115,192,1335
903,130.02,2018,1,3,10,41,1032
904,130.02,2018,2,2,10,35,1609
905,130.02,2018,2,3,375,1215,1453
906,130.02,2018,3,2,10,15,1265
907,130.02,2018,3,3,25,86,1241
908,131.01,2018,1,0,10,15,751
909,131.01,2018,1,1,355,410,865
910,131.01,2018,1,2,245,446,1143
911,131.01,2018,1,3,29,86,977
912,131.01,2018,2,2,20,20,905
913,131.01,2018,2,3,265,982,1497
914,131.01,2018,3,3,40,182,1394
915,131.01,2018,4,3,49,177,1452
916,131.02,2018,1,0,10,10,787
917,131.02,2018,1,1,249,339,969
918,131.02,2018,1,2,255,628,1158
919,131.02,2018,1,3,25,106,917
920,131.02,2018,2,2,140,329,1356
921,131.02,2018,2,3,90,273,1493
922,131.02,2018,3,2,10,17,1243
923,131.02,2018,3,3,40,147,1509
924,131.02,2018,4,2,15,35,1577
925,131.02,2018,4,3,60,157,1477
926,132.0,2018,1,0,15,20,881
927,132.0,2018,1,1,235,359,1091
928,132.0,2018,1,2,710,1620,1213
929,132.0,2018,1,3,125,440,1402
930,132.0,2018,2,2,40,116,1304
931,132.0,2018,2,3,95,410,1577
932,132.0,2018,3,3,10,51,1158
933,132.0,2018,4,3,57,192,1496
934,133.0,2018,1,0,10,10,945
935,133.0,2018,1,1,145,213,1127
936,133.0,2018,1,2,170,385,1348
937,133.0,2018,1,3,10,35,1525
938,133.0,2018,2,1,10,15,1157
939,133.0,2018,2,2,20,66,1660
940,133.0,2018,2,3,145,461,1683
941,133.0,2018,3,3,10,25,1509
942,133.0,2018,4,2,15,25,1110
943,133.0,2018,4,3,147,461,1591
944,134.0,2018,1,2,9,10,1136
945,134.0,2018,1,3,10,20,1633
946,134.0,2018,2,2,10,41,1673
947,134.0,2018,2,3,125,344,1557
948,134.0,2018,3,3,25,71,1213
949,134.0,2018,4,2,20,30,1104
950,134.0,2018,4,3,100,309,1456
951,135.01,2018,1,0,10,11,827
952,135.01,2018,1,1,70,65,899
953,135.01,2018,1,2,190,226,1259
954,135.01,2018,2,2,30,65,1260
955,135.01,2018,2,3,635,2012,1486
956,135.01,2018,3,2,15,20,1008
957,135.01,2018,3,3,30,90,1169
958,135.01,2018,4,2,10,10,1410
959,135.01,2018,4,3,35,156,1409
960,135.02,2018,1,1,80,100,1075
961,135.02,2018,1,2,105,216,1228
962,135.02,2018,1,3,35,85,1136
963,135.02,2018,2,2,15,40,1633
964,135.02,2018,2,3,90,211,1353
965,135.02,2018,4,3,30,70,1554
966,135.03,2018,2,1,10,10,862
967,135.03,2018,2,2,55,110,1169
968,135.03,2018,2,3,70,231,1201
969,135.03,2018,3,2,10,17,1094
970,135.03,2018,4,3,50,191,1347
971,136.01,2018,1,1,20,30,877
972,136.01,2018,1,2,29,40,906
973,136.01,2018,2,3,120,351,1396
974,136.01,2018,3,3,10,10,1314
975,136.01,2018,4,1,10,15,765
976,136.01,2018,4,3,60,166,1314
977,136.02,2018,1,1,45,50,1194
978,136.02,2018,1,2,60,95,877
979,136.02,2018,1,3,15,65,1026
980,136.02,2018,2,1,15,15,1061
981,136.02,2018,2,2,95,196,1399
982,136.02,2018,2,3,190,557,1364
983,136.02,2018,3,2,10,20,1434
984,136.02,2018,3,3,25,70,1383
985,136.02,2018,5,3,10,15,811
986,137.02,2018,1,1,55,85,1146
987,137.02,2018,1,2,145,256,1394
988,137.02,2018,2,2,24,45,1184
989,137.02,2018,2,3,60,171,1431
990,137.02,2018,4,3,25,55,1347
991,137.03,2018,4,3,9,15,1736
992,137.04,2018,1,1,50,55,1100
993,137.04,2018,1,2,25,45,1174
994,137.04,2018,2,2,45,105,1472
995,137.04,2018,2,3,85,226,1407
996,137.04,2018,3,3,10,15,1058
997,137.05,2018,1,1,30,25,958
998,137.05,2018,1,2,153,306,1420
999,137.05,2018,2,1,20,25,841
1000,137.05,2018,2,2,105,241,1169
1001,137.05,2018,2,3,259,798,1377
1002,138.0,2018,1,0,20,25,854
1003,138.0,2018,1,1,630,1118,1113
1004,138.0,2018,1,2,730,1826,1201
1005,138.0,2018,1,3,15,46,1356
1006,138.0,2018,2,1,10,15,1035
1007,138.0,2018,2,2,295,900,1411
1008,138.0,2018,2,3,650,2670,1542
1009,138.0,2018,4,3,10,20,1584
1010,138.0,2018,5,1,10,7,612
1011,139.0,2018,1,1,10,10,1284
1012,139.0,2018,1,2,95,152,1492
1013,139.0,2018,2,3,45,147,1425
1014,139.0,2018,3,3,10,10,2050
1015,139.0,2018,4,2,9,30,1282
1016,139.0,2018,4,3,69,248,1580
1017,140.03,2018,1,1,10,10,1108
1018,140.03,2018,1,2,15,26,1378
1019,140.03,2018,2,3,55,202,1012
1020,140.03,2018,4,3,10,57,1517
1021,140.04,2018,2,3,30,73,1396
1022,140.04,2018,4,3,29,83,1530
1023,140.05,2018,2,3,70,202,1399
1024,140.05,2018,3,3,20,47,1289
1025,140.05,2018,4,3,19,57,1589
1026,140.06,2018,4,3,28,62,1429
1027,140.07,2018,1,2,30,36,1150
1028,140.07,2018,2,2,20,52,1286
1029,140.07,2018,2,3,100,301,1368
1030,140.07,2018,3,3,10,73,1303
1031,141.04,2018,2,3,45,109,1355
1032,141.05,2018,1,1,8,10,1371
1033,141.05,2018,1,2,34,26,1597
1034,141.05,2018,1,3,23,16,1880
1035,141.05,2018,2,1,25,41,1005
1036,141.05,2018,2,2,75,150,1340
1037,141.05,2018,2,3,290,996,1509
1038,141.05,2018,3,3,55,197,1662
1039,141.05,2018,4,3,34,135,1934
1040,141.08,2018,2,3,65,258,1545
1041,141.08,2018,3,1,10,10,1122
1042,141.08,2018,4,2,10,25,986
1043,141.08,2018,4,3,40,127,1790
1044,141.09,2018,1,1,10,16,1315
1045,141.09,2018,1,2,160,311,1386
1046,141.09,2018,1,3,20,36,1353
1047,141.09,2018,2,2,125,249,1580
1048,141.09,2018,2,3,215,695,1718
1049,141.09,2018,3,3,10,26,2059
1050,141.09,2018,4,3,35,140,1995
1051,141.1,2018,2,3,80,296,1615
1052,141.1,2018,3,3,10,52,1776
1053,141.1,2018,4,1,10,10,1053
1054,141.1,2018,4,3,20,119,1851
1055,141.11,2018,1,1,1,10,1318
1056,141.11,2018,1,2,157,311,1525
1057,141.11,2018,2,2,15,36,1496
1058,141.11,2018,2,3,185,695,1636
1059,141.11,2018,3,2,10,17,1508
1060,141.11,2018,3,3,20,88,1739
1061,141.11,2018,4,3,9,52,1982
1062,141.12,2018,1,1,15,16,1227
1063,141.12,2018,1,2,181,405,1438
1064,141.12,2018,2,1,10,16,1151
1065,141.12,2018,2,2,145,316,1486
1066,141.12,2018,2,3,275,949,1844
1067,141.12,2018,3,3,25,62,1815
1068,141.12,2018,4,3,80,290,2082
1069,141.13,2018,2,3,99,347,1711
1070,141.13,2018,4,3,53,171,1971
1071,141.14,2018,2,3,10,20,1686
1072,141.14,2018,4,2,30,61,1402
1073,141.14,2018,4,3,80,214,2154
1074,141.15,2018,1,1,20,10,1278
1075,141.15,2018,1,2,81,161,1423
1076,141.15,2018,1,3,23,21,2140
1077,141.15,2018,2,2,125,280,1523
1078,141.15,2018,2,3,365,1100,1792
1079,141.15,2018,4,2,9,16,1824
1080,141.15,2018,4,3,74,249,2360
1081,151.03,2018,1,1,55,71,654
1082,151.03,2018,1,2,50,71,1043
1083,151.03,2018,1,3,25,76,1110
1084,151.03,2018,2,3,10,15,983
1085,151.03,2018,3,1,10,10,715
1086,151.03,2018,3,3,10,10,922
1087,151.03,2018,4,2,15,20,1246
1088,151.03,2018,4,3,40,101,1782
1089,151.04,2018,1,1,35,36,1092
1090,151.04,2018,1,2,10,21,1236
1091,151.04,2018,2,3,15,41,1132
1092,151.04,2018,3,3,10,16,871
1093,151.04,2018,4,1,10,10,1036
1094,151.04,2018,4,3,45,197,1832
1095,151.05,2018,2,2,10,10,1240
1096,151.05,2018,2,3,15,52,1241
1097,151.05,2018,4,3,15,26,1669
1098,151.06,2018,1,1,55,57,891
1099,151.06,2018,1,2,20,41,1493
1100,151.06,2018,2,1,10,21,837
1101,151.06,2018,2,3,10,10,1415
1102,151.06,2018,4,3,29,88,2208
1103,151.07,2018,1,1,10,10,1162
1104,151.07,2018,1,2,55,98,1289
1105,151.07,2018,2,3,30,67,1684
1106,151.07,2018,3,3,10,36,1347
1107,151.07,2018,4,1,10,10,1222
1108,151.07,2018,4,3,102,378,2168
1109,151.08,2018,1,2,48,109,1449
1110,151.08,2018,1,3,2,6,1757
1111,151.08,2018,2,3,80,264,1783
1112,151.08,2018,4,2,15,26,1275
1113,151.08,2018,4,3,30,93,2112
1114,151.09,2018,4,2,25,71,1367
1115,151.09,2018,4,3,75,197,1739
1116,160.02,2018,1,1,95,109,918
1117,160.02,2018,1,2,155,305,1253
1118,160.02,2018,1,3,6,18,1395
1119,160.02,2018,2,2,80,150,1492
1120,160.02,2018,2,3,220,730,1564
1121,160.02,2018,4,3,24,52,1576
1122,160.03,2018,1,2,50,88,1390
1123,160.03,2018,1,3,1,4,1727
1124,160.03,2018,2,2,10,21,1409
1125,160.03,2018,2,3,179,492,1730
1126,160.03,2018,3,2,10,10,981
1127,160.03,2018,3,3,10,16,728
1128,160.03,2018,4,0,10,3,1579
1129,160.03,2018,4,3,49,166,2258
1130,160.04,2018,1,1,19,21,892
1131,160.04,2018,1,2,30,52,1024
1132,160.04,2018,1,3,10,21,1236
1133,160.04,2018,2,2,65,135,1297
1134,160.04,2018,2,3,275,797,1441
1135,160.04,2018,3,3,10,10,891
1136,160.04,2018,4,3,20,72,1485
1137,160.05,2018,1,1,45,52,1020
1138,160.05,2018,1,2,135,223,1170
1139,160.05,2018,1,3,10,47,1547
1140,160.05,2018,2,3,20,47,1356
1141,160.05,2018,4,2,10,31,945
1142,160.05,2018,4,3,9,31,1523
1143,160.06,2018,1,1,329,450,1834
1144,160.06,2018,1,2,480,833,2049
1145,160.06,2018,1,3,25,47,1282
1146,160.06,2018,2,2,19,57,1366
1147,160.06,2018,2,3,185,538,1482
1148,160.06,2018,4,3,10,21,1692
1149,160.06,2018,5,2,10,10,1065
1150,160.07,2018,1,2,15,16,1178
1151,160.07,2018,2,2,25,47,1160
1152,160.07,2018,2,3,74,181,1492
1153,160.07,2018,4,3,20,41,1820
1154,160.09,2018,1,2,10,20,1610
1155,160.09,2018,4,3,49,129,2085
1156,160.1,2018,1,2,15,36,1554
1157,160.1,2018,2,2,10,36,1395
1158,160.1,2018,2,3,244,745,1721
1159,160.1,2018,4,3,45,171,1880
1160,160.11,2018,1,1,25,36,1160
1161,160.11,2018,1,2,40,78,986
1162,160.11,2018,2,2,10,31,1403
1163,160.11,2018,2,3,174,538,1668
1164,160.11,2018,4,3,25,114,2113
1165,161.03,2018,1,2,10,20,1049
1166,161.03,2018,2,1,10,10,1026
1167,161.03,2018,2,2,40,93,863
1168,161.03,2018,2,3,145,518,1530
1169,161.03,2018,4,1,10,10,903
1170,161.03,2018,4,2,20,26,1192
1171,161.03,2018,4,3,20,88,1602
1172,161.04,2018,1,2,10,21,1634
1173,161.04,2018,2,3,84,238,1139
1174,161.04,2018,4,2,10,10,1383
1175,161.04,2018,4,3,14,83,1887
1176,161.05,2018,2,2,10,10,1437
1177,161.05,2018,2,3,114,352,1787
1178,161.05,2018,3,3,10,10,1124
1179,161.05,2018,4,3,38,124,1745
1180,161.06,2018,1,1,10,13,1153
1181,161.06,2018,1,2,45,72,1347
1182,161.06,2018,2,2,70,129,1436
1183,161.06,2018,2,3,175,559,1717
1184,161.06,2018,4,2,8,26,1173
1185,161.06,2018,4,3,29,83,2060
1186,162.01,2018,1,2,10,10,1183
1187,162.01,2018,2,2,10,16,1531
1188,162.01,2018,2,3,189,580,1871
1189,162.01,2018,3,3,60,171,1581
1190,162.01,2018,4,3,45,129,1392
1191,162.02,2018,2,2,35,67,957
1192,162.02,2018,2,3,89,300,1458
1193,162.02,2018,3,2,10,16,1360
1194,162.02,2018,3,3,60,228,1237
1195,162.02,2018,4,3,35,104,1389
1196,170.01,2018,1,1,10,10,1376
1197,170.01,2018,1,2,47,41,1549
1198,170.01,2018,1,3,31,26,1912
1199,170.01,2018,2,2,34,92,1567
1200,170.01,2018,2,3,85,251,1391
1201,170.01,2018,3,3,10,31,1102
1202,170.01,2018,4,3,28,67,1406
1203,170.03,2018,2,1,10,10,995
1204,170.03,2018,2,3,15,31,1556
1205,170.03,2018,3,3,10,26,1431
1206,170.03,2018,4,2,10,26,1522
1207,170.03,2018,4,3,45,128,1467
1208,170.04,2018,1,1,15,10,957
1209,170.04,2018,1,2,10,20,1190
1210,170.04,2018,2,3,20,51,1405
1211,170.04,2018,4,2,20,26,1303
1212,170.04,2018,4,3,55,149,1462
1213,170.05,2018,2,3,60,225,1477
1214,170.05,2018,4,3,29,102,1590
1215,170.08,2018,2,3,10,10,1334
1216,170.09,2018,2,1,20,41,1257
1217,170.09,2018,2,2,15,26,1274
1218,170.09,2018,2,3,85,236,1461
1219,170.09,2018,4,1,10,10,953
1220,170.09,2018,4,3,35,138,1686
1221,170.1,2018,1,1,100,123,1036
1222,170.1,2018,1,2,120,215,1263
1223,170.1,2018,2,1,10,10,1038
1224,170.1,2018,2,3,30,108,1461
1225,170.1,2018,4,3,30,67,1694
1226,170.11,2018,2,2,20,51,1351
1227,170.11,2018,2,3,40,67,1117
1228,170.11,2018,4,2,9,19,1368
1229,170.11,2018,4,3,10,46,1839
1230,170.12,2018,2,2,10,15,1676
1231,170.12,2018,2,3,94,323,1669
1232,170.13,2018,2,3,95,292,1572
1233,170.13,2018,4,3,14,61,2037
1234,171.03,2018,1,1,20,36,1024
1235,171.03,2018,1,2,20,30,1517
1236,171.03,2018,3,1,25,30,844
1237,171.03,2018,3,3,20,66,1120
1238,171.03,2018,4,1,20,36,1012
1239,171.03,2018,4,2,54,96,1285
1240,171.03,2018,4,3,104,299,1737
1241,171.05,2018,1,1,10,15,1418
1242,171.05,2018,1,2,20,46,1507
1243,171.05,2018,2,2,10,15,1686
1244,171.05,2018,2,3,90,259,1892
1245,171.05,2018,3,2,10,10,1645
1246,171.05,2018,3,3,10,15,1963
1247,171.05,2018,4,2,44,56,1329
1248,171.05,2018,4,3,9,25,2364
1249,171.06,2018,1,1,39,51,531
1250,171.06,2018,1,2,30,46,1002
1251,171.06,2018,1,3,15,41,981
1252,171.06,2018,2,2,10,10,809
1253,171.06,2018,2,3,10,20,1857
1254,171.06,2018,3,2,15,15,776
1255,171.06,2018,4,1,10,20,1517
1256,171.06,2018,4,2,65,123,1247
1257,171.06,2018,4,3,79,195,1858
1258,171.07,2018,2,2,10,31,1480
1259,171.07,2018,2,3,69,241,1682
1260,171.07,2018,4,3,25,87,2035
1261,171.09,2018,1,1,19,26,1109
1262,171.09,2018,1,2,127,272,1565
1263,171.09,2018,2,2,20,31,1398
1264,171.09,2018,2,3,198,641,1866
1265,171.09,2018,4,3,20,92,2340
1266,171.1,2018,1,1,15,26,1248
1267,171.1,2018,1,2,145,287,1364
1268,171.1,2018,2,2,50,118,1675
1269,171.1,2018,2,3,165,507,1808
1270,171.1,2018,4,3,30,97,2391
1271,180.01,2018,1,0,1,1,753
1272,180.01,2018,1,1,136,152,746
1273,180.01,2018,1,2,301,462,1130
1274,180.01,2018,1,3,49,122,1078
1275,180.01,2018,2,2,50,96,1006
1276,180.01,2018,2,3,25,81,1168
1277,180.01,2018,3,2,25,66,979
1278,180.01,2018,3,3,65,243,1607
1279,180.01,2018,4,2,30,61,1350
1280,180.01,2018,4,3,105,370,1788
1281,180.02,2018,1,1,100,117,896
1282,180.02,2018,1,2,225,360,1184
1283,180.02,2018,1,3,25,91,1444
1284,180.02,2018,2,1,10,18,959
1285,180.02,2018,2,2,29,61,1202
1286,180.02,2018,2,3,36,91,1567
1287,180.02,2018,3,2,15,25,955
1288,180.02,2018,4,2,10,20,1075
1289,180.02,2018,4,3,95,274,1565
1290,181.01,2018,1,1,40,46,692
1291,181.01,2018,1,2,10,10,1326
1292,181.01,2018,1,3,10,20,1709
1293,181.01,2018,3,2,10,15,1545
1294,181.01,2018,4,1,15,20,919
1295,181.01,2018,4,2,10,10,1330
1296,181.01,2018,4,3,80,238,1802
1297,181.02,2018,1,1,45,46,801
1298,181.02,2018,1,2,70,117,974
1299,181.02,2018,1,3,30,101,1009
1300,181.02,2018,2,1,10,17,1047
1301,181.02,2018,3,2,25,51,916
1302,181.02,2018,3,3,15,30,1150
1303,181.02,2018,4,1,10,10,936
1304,181.02,2018,4,2,20,36,1248
1305,181.02,2018,4,3,60,188,1706
1306,182.0,2018,1,2,15,36,1255
1307,182.0,2018,1,3,10,25,1601
1308,182.0,2018,3,3,10,20,1551
1309,182.0,2018,4,1,10,10,910
1310,182.0,2018,4,2,35,56,1285
1311,182.0,2018,4,3,65,193,1650
1312,183.0,2018,1,1,50,66,944
1313,183.0,2018,1,2,84,142,1273
1314,183.0,2018,1,3,26,15,1445
1315,183.0,2018,3,2,15,20,1104
1316,183.0,2018,3,3,10,41,1651
1317,183.0,2018,4,2,20,36,1611
1318,183.0,2018,4,3,40,132,1870
1319,184.0,2018,1,1,90,112,842
1320,184.0,2018,1,2,235,417,1099
1321,184.0,2018,1,3,15,51,941
1322,184.0,2018,2,1,10,17,858
1323,184.0,2018,2,2,20,46,1149
1324,184.0,2018,2,3,20,71,1416
1325,184.0,2018,3,1,10,10,850
1326,184.0,2018,3,2,40,87,1082
1327,184.0,2018,3,3,10,10,782
1328,184.0,2018,4,1,10,10,882
1329,184.0,2018,4,2,10,25,1182
1330,184.0,2018,4,3,65,229,1803
1331,190.01,2018,1,1,45,51,878
1332,190.01,2018,1,2,15,20,978
1333,190.01,2018,2,2,15,31,1441
1334,190.01,2018,3,3,20,31,802
1335,190.01,2018,4,1,10,10,1289
1336,190.01,2018,4,2,15,41,1291
1337,190.01,2018,4,3,120,387,1727
1338,190.02,2018,1,2,10,10,1491
1339,190.02,2018,1,3,10,28,1667
1340,190.02,2018,2,1,10,10,1144
1341,190.02,2018,3,1,15,15,987
1342,190.02,2018,3,3,20,46,1501
1343,190.02,2018,4,2,20,51,1284
1344,190.02,2018,4,3,34,132,2105
1345,190.02,2018,5,2,10,10,865
1346,191.01,2018,3,2,10,10,1324
1347,191.01,2018,4,2,30,46,1311
1348,191.01,2018,4,3,29,102,2376
1349,191.02,2018,1,1,35,36,749
1350,191.02,2018,1,2,15,41,1191
1351,191.02,2018,2,2,10,20,1141
1352,191.02,2018,4,1,15,20,802
1353,191.02,2018,4,2,20,56,1388
1354,191.02,2018,4,3,45,153,1700
1355,191.02,2018,5,1,10,10,721
1356,200.01,2018,1,3,8,10,1558
1357,200.01,2018,4,1,10,10,1145
1358,200.01,2018,4,2,10,25,1522
1359,200.01,2018,4,3,35,86,1832
1360,200.02,2018,1,1,31,25,942
1361,200.02,2018,1,2,0,0,1168
1362,200.02,2018,4,2,45,96,1428
1363,200.02,2018,4,3,99,284,1719
1364,201.0,2018,1,1,30,25,839
1365,201.0,2018,1,2,10,15,942
1366,201.0,2018,2,1,10,10,911
1367,201.0,2018,2,2,15,20,1188
1368,201.0,2018,2,3,15,20,1180
1369,201.0,2018,3,1,15,20,1112
1370,201.0,2018,4,1,10,10,1017
1371,201.0,2018,4,3,42,111,1826
1372,300.0,2018,1,1,25,25,857
1373,300.0,2018,1,2,15,15,1356
1374,300.0,2018,2,1,10,25,1140
1375,300.0,2018,2,2,50,96,1638
1376,300.0,2018,2,3,110,279,1746
1377,300.0,2018,3,3,10,20,1504
1378,300.0,2018,4,1,10,15,925
1379,300.0,2018,4,2,45,76,1147
1380,300.0,2018,4,3,100,273,2015
1381,301.0,2018,1,2,15,30,1216
1382,301.0,2018,4,2,20,41,1174
1383,301.0,2018,4,3,80,192,1597
1384,302.0,2018,1,2,10,10,1322
1385,302.0,2018,2,2,10,15,1473
1386,302.0,2018,4,1,19,20,948
1387,302.0,2018,4,2,47,101,1266
1388,302.0,2018,4,3,104,294,1766
1389,400.0,2018,1,1,115,163,892
1390,400.0,2018,1,2,170,265,1180
1391,400.0,2018,1,3,30,82,1277
1392,400.0,2018,2,2,15,15,1141
1393,400.0,2018,2,3,55,184,1441
1394,400.0,2018,3,1,15,15,792
1395,400.0,2018,3,2,25,36,1017
1396,400.0,2018,3,3,50,133,1340
1397,400.0,2018,4,1,13,20,1077
1398,400.0,2018,4,2,95,184,1321
1399,400.0,2018,4,3,209,617,1691
1400,400.0,2018,5,2,10,15,979
